class,age,sex,survived
crew,adult,female,yes
first,adult,male,no
first,adult,male,no
third,adult,female,no
second,adult,female,yes
third,adult,female,yes
second,adult,male,yes
second,adult,female,yes
crew,child,female,no
third,adult,female,no
crew,adult,female,yes
second,adult,male,yes
third,adult,female,yes
second,adult,female,no
second,child,female,yes
third,adult,male,no
first,adult,male,no
first,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,yes
crew,adult,male,no
first,adult,male,no
third,adult,female,no
third,adult,female,yes
second,child,male,yes
second,adult,female,yes
second,adult,female,yes
third,adult,female,yes
second,adult,female,no
first,adult,male,no
first,adult,female,yes
third,adult,female,yes
second,adult,male,no
first,adult,female,yes
first,adult,male,no
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
first,adult,female,yes
third,adult,female,yes
third,adult,female,yes
first,adult,male,no
second,adult,female,yes
third,adult,female,no
third,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,no
second,adult,female,yes
crew,adult,male,no
third,adult,female,yes
second,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,yes
second,adult,male,no
second,adult,female,yes
first,adult,male,yes
second,adult,female,yes
second,adult,female,yes
second,child,female,no
second,adult,female,yes
second,adult,female,yes
second,adult,female,yes
crew,adult,female,yes
second,adult,male,no
first,adult,female,yes
third,adult,female,yes
second,adult,female,yes
crew,adult,female,no
crew,adult,female,yes
second,adult,male,no
third,adult,female,yes
second,adult,male,yes
second,adult,female,yes
crew,adult,male,no
second,adult,female,yes
third,adult,female,no
second,adult,female,yes
crew,adult,male,no
second,adult,female,yes
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
second,adult,female,no
third,adult,male,no
second,adult,male,no
third,adult,female,no
third,adult,female,yes
crew,adult,female,yes
third,adult,female,yes
crew,adult,male,no
first,adult,male,no
third,adult,female,no
first,adult,female,yes
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
second,adult,female,yes
second,adult,female,yes
second,child,female,yes
second,adult,female,no
third,adult,female,yes
third,adult,female,yes
second,adult,female,yes
crew,adult,female,yes
crew,adult,female,no
second,adult,male,yes
crew,adult,male,no
second,adult,female,yes
crew,adult,male,no
crew,adult,female,no
third,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,no
third,adult,female,yes
second,child,female,yes
first,adult,female,yes
third,adult,female,yes
third,adult,female,yes
crew,adult,male,no
second,adult,female,yes
third,adult,female,no
first,child,female,no
second,adult,female,yes
third,adult,female,yes
second,adult,female,yes
second,adult,male,yes
crew,adult,female,no
second,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,no
second,adult,male,no
crew,adult,male,no
third,adult,female,yes
crew,adult,female,yes
third,adult,female,yes
first,adult,male,yes
second,adult,female,yes
third,adult,female,no
second,child,female,yes
third,adult,female,no
second,adult,female,yes
second,adult,female,yes
crew,adult,female,no
crew,adult,female,yes
second,adult,female,yes
second,adult,female,yes
first,adult,male,no
second,adult,female,no
first,adult,male,no
second,adult,female,yes
second,adult,female,yes
second,adult,female,yes
third,adult,female,no
second,adult,female,yes
first,adult,female,yes
second,child,male,no
third,adult,female,yes
third,adult,female,yes
second,child,female,yes
third,adult,female,yes
second,adult,female,yes
second,adult,male,no
first,child,male,no
crew,adult,female,yes
second,adult,female,yes
second,child,female,yes
third,adult,female,yes
third,adult,female,no
third,adult,female,yes
third,adult,female,yes
second,adult,male,no
third,adult,female,yes
second,adult,female,yes
second,adult,female,yes
second,adult,female,yes
crew,adult,female,yes
second,adult,female,yes
crew,adult,male,no
crew,adult,male,no
third,adult,female,yes
crew,adult,female,yes
third,adult,female,yes
second,adult,male,yes
third,adult,female,yes
second,adult,female,yes
first,adult,female,yes
crew,adult,male,no
first,adult,male,no
third,adult,female,yes
second,child,male,no
second,adult,female,yes
crew,adult,male,no
third,adult,female,yes
second,adult,female,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,no
third,adult,female,no
second,child,female,yes
third,adult,female,no
second,child,female,yes
first,adult,female,yes
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
first,adult,male,no
third,adult,female,yes
third,adult,female,no
crew,adult,male,no
third,adult,female,no
second,adult,female,yes
second,adult,male,yes
second,adult,female,yes
third,adult,female,yes
third,adult,female,yes
third,adult,female,yes
second,adult,male,no
crew,adult,male,no
first,adult,male,no
crew,adult,female,yes
second,adult,female,yes
first,child,female,no
third,adult,female,no
first,adult,female,yes
second,adult,female,no
second,adult,female,yes
